Year,Mean PTS,Sum PTS,WR,Win Counts,Team Name
1999,90.97,7187,43.04,34,Cleveland Caveliers 1
2000,94.44,7650,44.44,36,Cleveland Caveliers 1
2001,92.27,7751,30.95,26,Cleveland Caveliers 1
2002,94.58,8039,27.06,23,Cleveland Caveliers 1
2003,92.1,4513,22.45,11,Cleveland Caveliers 1
2003,91.0,2912,31.25,10,Cleveland Caveliers 1
2004,95.11,7704,53.09,43,Cleveland Caveliers 1
2005,98.07,8728,53.93,48,Cleveland Caveliers 1
2006,94.2,9797,54.81,57,Cleveland Caveliers 1
2007,93.97,10806,53.91,62,Cleveland Caveliers 1
2008,95.86,10353,62.04,67,Cleveland Caveliers 1
2009,98.51,11033,72.32,81,Cleveland Caveliers 1
2007,95.48,2960,45.16,14,Cleveland Caveliers 2
2008,95.86,10353,62.04,67,Cleveland Caveliers 2
2009,98.51,11033,72.32,81,Cleveland Caveliers 2
2010,98.02,10194,55.77,58,Cleveland Caveliers 2
2011,96.38,5301,23.64,13,Cleveland Caveliers 2
2012,92.61,9909,30.84,33,Cleveland Caveliers 2
2013,98.18,4909,34.0,17,Cleveland Caveliers 2
2014,101.5,3248,56.25,18,Cleveland Caveliers 2
2015,100.31,11235,65.18,73,Cleveland Caveliers 2
2016,106.17,12528,70.34,83,Cleveland Caveliers 2
2017,109.46,12478,59.65,68,Cleveland Caveliers 2
2018,111.5,5129,56.52,26,Cleveland Caveliers 2
2004,100.84,3126,77.42,24,Miami Heat
2005,99.48,10346,64.42,67,Miami Heat
2006,96.73,10737,58.56,65,Miami Heat
2007,93.94,8830,41.49,39,Miami Heat
2008,92.3,8122,29.55,26,Miami Heat
2009,99.35,5166,50.0,26,Miami Heat
2010,101.38,3447,73.53,25,Miami Heat
2011,100.09,7507,69.33,52,Miami Heat
2012,97.93,12437,67.72,86,Miami Heat
2013,99.67,12658,76.38,97,Miami Heat
2014,100.82,5142,58.82,30,Miami Heat
2014,102.56,3282,31.25,10,Los Angeles Lakers
2015,95.25,9144,21.88,21,Los Angeles Lakers
2016,99.79,9779,28.57,28,Los Angeles Lakers
2017,105.08,9983,34.74,33,Los Angeles Lakers
2018,108.64,5106,51.06,24,Los Angeles Lakers
2018,113.35,4194,56.76,21,Los Angeles Lakers
2019,109.02,10030,52.17,48,Los Angeles Lakers
2020,114.15,8105,71.83,51,Los Angeles Lakers
2021,107.06,13276,51.61,64,Los Angeles Lakers
2022,112.07,4595,31.71,13,Los Angeles Lakers
